기간,구분,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2018,강수량,"1,284.10",8.5,29.6,49.5,130.3,222,171.5,185.6,202.6,68.5,120.5,79.1,16.4
2018,강수일수,104,7,4,9,11,11,10,9,15,11,6,6,5
